"","GC=F.Open","GC=F.High","GC=F.Low","GC=F.Close","GC=F.Volume","GC=F.Adjusted"
"2011-01-03",1415.599976,1423.900024,1413.699951,1422.599976,28,1422.599976
"2011-01-04",1409.599976,1410.900024,1375.800049,1378.5,122,1378.5
"2011-01-05",1383.400024,1384,1364.199951,1373.400024,175,1373.400024
"2011-01-06",1374.800049,1376.5,1368.900024,1371.400024,158,1371.400024
"2011-01-07",1372.699951,1377.199951,1355.5,1368.5,225,1368.5
"2011-01-10",1369,1374,1365.699951,1373.699951,181,1373.699951
"2011-01-11",1375.400024,1384.5,1373.900024,1384,13,1384
"2011-01-12",1382.599976,1385.5,1378,1385.699951,204,1385.699951
"2011-01-13",1386.099976,1392.5,1371.400024,1386.900024,66,1386.900024
"2011-01-14",1375,1376,1356.699951,1360.400024,252,1360.400024
"2011-01-18",1365.099976,1371,1359.199951,1368.099976,106,1368.099976
"2011-01-19",1371.900024,1376.199951,1367,1370.199951,40,1370.199951
"2011-01-20",1367.699951,1367.699951,1345,1346.5,10,1346.5
"2011-01-21",1341.699951,1345.599976,1338.599976,1341,20,1341
"2011-01-24",1352.300049,1352.300049,1341.800049,1344.5,2,1344.5
"2011-01-25",1330.400024,1331.5,1323.599976,1332.300049,394,1332.300049
"2011-01-26",1333,1341.699951,1333,1333,4,1333
"2011-01-27",1342,1342,1318.400024,1318.400024,210699,1318.400024
"2011-01-28",1314,1346.599976,1307.699951,1340.699951,73023,1340.699951
"2011-01-31",1339,1345.900024,1323.300049,1333.800049,13657,1333.800049
"2011-02-01",1333.099976,1342.900024,1325.300049,1339.599976,3180,1339.599976
"2011-02-02",1344,1344,1327,1331.5,1363,1331.5
"2011-02-03",1335.599976,1355.800049,1324.900024,1352.300049,1865,1352.300049
"2011-02-04",1354.800049,1360,1345,1348.300049,591,1348.300049
"2011-02-07",1345.800049,1353.800049,1343.800049,1347.599976,1004,1347.599976
"2011-02-08",1351.199951,1367,1350,1363.400024,2536,1363.400024
"2011-02-09",1362.800049,1366.5,1359.599976,1364.800049,146,1364.800049
"2011-02-10",1364.300049,1364.5,1351.699951,1361.900024,312,1361.900024
"2011-02-11",1364,1368.800049,1355.199951,1359.900024,488,1359.900024
"2011-02-14",1357.800049,1365.599976,1356.599976,1364.599976,181,1364.599976
"2011-02-15",1361.599976,1376,1361.599976,1373.599976,321,1373.599976
"2011-02-16",1373.599976,1382,1370.5,1374.699951,156,1374.699951
"2011-02-17",1377.699951,1384.699951,1377,1384.699951,113,1384.699951
"2011-02-18",1384.099976,1391.800049,1381.800049,1388.199951,98,1388.199951
"2011-02-22",1395.099976,1408.699951,1395.099976,1400.5,430,1400.5
"2011-02-23",1397.800049,1413.800049,1397.800049,1413.400024,318,1413.400024
"2011-02-24",1415.099976,1415.300049,1408.300049,1415.300049,809,1415.300049
"2011-02-25",1401.699951,1411,1401,1408.699951,352,1408.699951
"2011-02-28",1410.699951,1415.699951,1407.699951,1409.300049,205,1409.300049
